column_name,dType,missing_values,modesOrMeans
Field of Study,object,0,"['Business', 'Medicine', 'Law']"
Current Occupation,object,0,"['Software Developer', 'Doctor', 'Artist']"
Age,float64,0,39.37
Gender,int64,0,0.51
Years of Experience,float64,0,19.77
Education Level,int64,0,2.5
Industry Growth Rate,int64,0,0.01
Job Satisfaction,float64,0,5.5
Work-Life Balance,float64,0,5.52
Job Opportunities,float64,0,50.64
Salary,float64,0,418458.36
Job Security,float64,0,5.53
Career Change Interest,float64,0,0.2
Skills Gap,float64,0,5.54
Certifications,float64,0,0.3
Freelancing Experience,float64,0,0.15
Geographic Mobility,float64,0,0.31
Professional Networks,float64,0,5.51
Career Change Events,float64,0,1.0
Technology Adoption,float64,0,5.49
Likely to Change Occupation,float64,0,0.57
Total Records,4940,0,
